id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
20,a,100.0,100.0,,
21,a,100.0,50.0,,
22,a,,,,
23,u,0.0,0.0,has joined Hamburger on loan for the rest of the season.,
24,a,100.0,100.0,,
25,a,,,,
662,i,0.0,0.0,Ankle injury - Unknown return date,
666,a,100.0,100.0,,
700,i,0.0,0.0,Ankle injury - Unknown return date,
711,a,,,,
725,a,100.0,100.0,,
759,a,,,,
32,a,100.0,100.0,,
33,a,,,,
34,u,0.0,0.0,Has joined Port Vale on loan for the rest of the season.,
35,u,0.0,0.0,Has joined Stevenage permanently.,
37,a,100.0,100.0,,
38,a,100.0,100.0,,
39,a,,,,
40,d,25.0,25.0,Hamstring injury - 25% chance of playing,
41,d,25.0,25.0,Calf injury - 25% chance of playing,
42,a,100.0,100.0,,
43,u,0.0,0.0,Has joined Girona permanently.,
44,a,100.0,100.0,,
45,a,,,,
46,u,0.0,0.0,has joined Anderlecht on loan for the rest of the season.,
47,a,100.0,100.0,,
48,a,100.0,100.0,,
49,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season.,
50,a,100.0,100.0,,
51,u,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,
53,a,,,,
60,a,,,,
61,u,0.0,0.0,Has joined Real Oviedo permanently.,
62,a,,,,
63,a,,,,
64,a,100.0,100.0,,
65,u,0.0,0.0,has joined Huddersfield Town on loan for the rest of the season.,
389,a,100.0,100.0,,
456,a,100.0,100.0,,
677,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 18 onwards. - Unknown return date,
688,a,,,,
701,u,0.0,0.0,has joined Annecy on loan for the rest of the season.,
702,a,,,,
710,a,,,,
719,a,100.0,100.0,,
754,a,,,,
781,a,,,,
183,a,,,,
184,u,0.0,0.0,has joined FC Fredericia permanently.,
189,u,0.0,0.0,Has joined Stockport County on loan for the rest of the season.,
